judge,venue,has_hallucination,n_hallucinations,confidence,overall_assessment
claude-opus-4.6,iclr2025_bi_align,True,6,4,"The paper contains several hallucinations of varying severity. Two citations appear to be nonexistent or unverifiable (Chang & Wang 2025, Shen et al. 2025 with suspicious arXiv ID). More critically, the h-m4 mediation regression results in Table 6 contain multiple discrepancies with the actual experimental output: the sample size is reported as 3,000 when it was actually 310,786; one beta coefficient has a reversed sign; and R-squared values are inflated. There is also a methodological inconsistency where the h-m2 directional C_sem values use a different baseline than the main C_sem definition without clear explanation. The core findings (h-e1, h-m1, h-m2, h-m3) appear to be supported by the experimental logs and code, but the h-m4 results as reported in the paper text do not match the actual experimental outputs."
claude-opus-4.6,iclr2025_buildingtrust,True,4,4,"The paper contains several significant hallucinations. Most critically: (1) The paper claims 4-shot MMLU evaluation but the code and logs confirm 0-shot was used, which undermines the H3 diagnostic discussion about shot-count asymmetry. (2) The 1.4B-PPO model was loaded with randomly initialized weights due to checkpoint incompatibility, making the extreme results (rho = -0.324, 99.7% argmax change) artifacts of a broken model rather than meaningful alignment effects. (3) The Spearman rho analysis, argmax redistribution, and H3 diagnostic results reported in the paper have no corresponding code or output files, suggesting these specific numerical results may be fabricated. (4) The PPO model ID reported in the paper differs from what was actually used in experiments."
claude-opus-4.6,iclr2025_data_problems,True,3,4,"The paper contains several hallucinations of moderate severity. The most significant are: (1) the paper claims 20 occupations when the code uses 60, (2) the conditional entropy notation is reversed between the paper and the code (H(occ|demo) in paper vs H(demo|occ) in code), and (3) the reported Spearman p-values are impossibly small for the stated sample size of 5 configurations, arising from a pooled pair-level computation that is not clearly described for H-E1. The paper is notably transparent about many of its limitations and data discrepancies, and the core experimental pipeline appears to have been genuinely executed. The citations all appear to reference real papers. However, the methodological misrepresentations could mislead readers about what was actually measured and the strength of the statistical evidence."
claude-opus-4.6,iclr2025_dl4c,True,6,4,"The paper contains multiple citations that are self-flagged as '[Citation unverified]' in the references section, including GHPO, DRIVE, PRLCoder, and PPOCoder. These appear to be fabricated or significantly misattributed references. The Afterburner citation includes a specific arXiv ID that may not correspond to a real paper. The mathematical derivations appear correct upon verification. The experimental results are consistent with the code and logs provided — the 0% pass rate finding is genuine and well-documented. The core methodology (prescreening pipeline, variance analysis) is accurately described relative to the code. The primary concern is the multiple unverifiable citations used to contextualize the work."
claude-opus-4.6,iclr2025_mldpr,True,6,4,"The paper contains multiple significant hallucinations. Most critically, the reported experimental results are inconsistent with the actual code outputs — the paper cherry-picks favorable results from what appears to be multiple runs, reporting r=0.989 while one experiment run showed r=0.577 with a failed gate. Two key citations (Rondina et al., 2025 and Oreamuno et al., 2024) are acknowledged as unverified and likely nonexistent. The mathematical formula for DTS scoring in the paper (binary indicator function) does not match the actual implementation (continuous coverage rates). The visualization labeled as 'Human vs. Automated' actually shows proxy scores, not human annotations. While the paper does disclose some of these issues in its limitations section, the abstract and main results sections present the findings as more definitive than the evidence supports."
claude-opus-4.6,iclr2025_question,True,4,5,"The paper contains several significant hallucinations. Most critically, the described methodology (net-contradiction scoring, sentence-level max aggregation, dialogue windowing) does not match the actual implementation, which uses raw P(contradiction) scores on full text pairs without any of these processing steps. The ORION citation appears fabricated. The experimental results themselves (AUROC values, p-values, Cohen's d) are genuine as verified by the experiment logs and result files, but the methodological description of how those results were obtained is inaccurate. This is a serious issue because the paper's narrative about design choices and their contributions is built on methodology that was never actually implemented."
claude-opus-4.6,iclr2025_scope,True,4,4,"The paper contains several hallucinations of varying severity. The most concerning are: (1) misreported ICC sensitivity values that don't match the actual experimental data, (2) a self-acknowledged unverified citation (Act-LoRA), (3) a potentially nonexistent future citation (Szatkowski et al. 2025), and (4) misrepresentation of H-M3 as intentionally not executed when logs show it was attempted and crashed with OOM. The core experimental results for H-E1, H-M1, and H-M2 appear genuine and well-supported by the code and result files, but the ICC sensitivity reporting discrepancy and the framing of H-M3 are problematic."
claude-opus-4.6,iclr2025_scsl,True,4,4,"The paper contains several hallucinations, most notably a systematic misreporting of the random seed (claiming seed=42 when the code and logs clearly show seed=1), fabricated or unverifiable claims about a test suite of 67 tests, inaccurate line counts for source files, and a non-existent PyTorch version number. The core experimental results and methodology appear consistent between the paper, code, and experiment logs (the numerical results match the JSON output), but the metadata and implementation details contain clear discrepancies. The mathematical framework and the experimental results themselves appear genuine and supported by the code and logs."
claude-opus-4.6,iclr2025_verifai,True,4,5,"The paper contains severe hallucinations. The core experimental results (P(True) extraction, ECE values, DELTA_ECE computations, temperature scaling analysis, bootstrap confidence intervals) are fabricated - they are reported in detail in the paper but no code exists to produce them, and the experiment logs confirm the pipeline never reached these stages. The code only implements and validates the tier stratification infrastructure (H-E1 gate), which actually failed in the first run. The second run succeeded for tier viability but the paper's main results about calibration behavior (Sections 5.2-5.4) have no supporting code or experimental evidence. The tier counts and Jaccard similarities from Section 5.1 and 5.5 appear to be based on real data from the second experiment run, but all calibration-related results are fabricated."
claude-opus-4.6,iclr2025_wsl,True,6,4,"The paper contains several hallucinations of varying severity. Most critically, two references (WS-KAN 2026 and NNiT 2026) are clearly nonexistent as they are dated in the future. The mediation analysis is mischaracterized as following Baron and Kenny (1986) when it is actually a simple difference in rho-squared values. There are also inconsistencies between the reported Table 2 values and the actual experimental heatmap outputs, suggesting some results in the paper text do not accurately reflect the experimental data. The experimental results themselves appear to have been genuinely computed (as evidenced by extensive logs and code), but the paper's narrative sometimes misrepresents or conflates results from different experimental conditions (h-e1 vs h-m1)."
