task,r1_winner,r2_winner,verdict,r1_youra_clarity,r1_youra_novelty,r1_youra_soundness,r1_youra_significance,r1_youra_overall,r1_aisv2_clarity,r1_aisv2_novelty,r1_aisv2_soundness,r1_aisv2_significance,r1_aisv2_overall,r2_youra_clarity,r2_youra_novelty,r2_youra_soundness,r2_youra_significance,r2_youra_overall,r2_aisv2_clarity,r2_aisv2_novelty,r2_aisv2_soundness,r2_aisv2_significance,r2_aisv2_overall
iclr2025_bi_align,YouRA,YouRA,Win,9,8,8,8,8,8,7,3,4,4,9,8,8,8,8,7,7,4,5,4
iclr2025_buildingtrust,YouRA,YouRA,Win,9,8,8,8,8,8,7,3,3,3,9,8,8,8,8,8,6,2,3,3
iclr2025_data_problems,AISv2,AISv2,Lose,8,8,5,7,5,9,8,7,8,8,5,6,3,4,3,9,7,7,7,7
iclr2025_dl4c,YouRA,AISv2,Tie,9,7,7,6,7,6,6,2,3,3,8,6,3,3,3,9,8,8,8,8
iclr2025_mldpr,AISv2,AISv2,Lose,8,5,2,3,2,8,8,7,7,7,8,6,2,4,3,9,8,7,8,8
iclr2025_question,YouRA,YouRA,Win,9,7,8,7,8,8,8,4,6,5,9,6,8,7,7,8,8,3,5,4
iclr2025_scope,YouRA,YouRA,Win,9,8,9,8,8,5,7,4,5,4,9,8,9,8,8,8,7,5,5,5
iclr2025_scsl,AISv2,AISv2,Lose,7,6,3,3,3,9,7,8,7,8,8,6,3,3,3,9,7,9,8,8
iclr2025_verifai,YouRA,YouRA,Win,9,6,9,7,8,7,7,2,3,3,9,7,9,8,8,8,6,2,2,2
iclr2025_wsl,AISv2,AISv2,Lose,9,6,7,7,7,9,9,8,9,9,9,7,6,8,7,9,8,8,8,8

Summary,Win=5,Tie=1,Lose=4,WinRate=50.0%
