task,r1_winner,r2_winner,verdict,r1_youra_clarity,r1_youra_novelty,r1_youra_soundness,r1_youra_significance,r1_youra_overall,r1_aisv2_clarity,r1_aisv2_novelty,r1_aisv2_soundness,r1_aisv2_significance,r1_aisv2_overall,r2_youra_clarity,r2_youra_novelty,r2_youra_soundness,r2_youra_significance,r2_youra_overall,r2_aisv2_clarity,r2_aisv2_novelty,r2_aisv2_soundness,r2_aisv2_significance,r2_aisv2_overall
iclr2025_bi_align,YouRA,AISv2,Tie,9,7,6,7,7,3,6,3,8,4,9,6,2,5,3,8,7,6,7,7
iclr2025_buildingtrust,YouRA,YouRA,Win,9,8,9,8,9,2,6,5,5,3,9,8,9,8,9,7,7,6,6,6
iclr2025_data_problems,YouRA,YouRA,Win,9,8,9,8,9,6,4,5,4,5,9,8,8,8,8,5,4,6,4,4
iclr2025_dl4c,YouRA,AISv2,Tie,9,6,8,6,8,3,7,4,5,3,8,6,6,5,6,9,8,9,7,8
iclr2025_mldpr,YouRA,AISv2,Tie,9,6,8,5,7,5,6,3,6,4,9,5,7,3,4,8,7,8,8,8
iclr2025_question,YouRA,AISv2,Tie,9,8,9,8,9,4,6,5,6,5,8,7,6,6,6,9,8,9,8,8
iclr2025_scope,YouRA,AISv2,Tie,9,8,7,7,7,7,7,6,6,6,7,8,5,6,6,9,7,8,7,8
iclr2025_scsl,YouRA,AISv2,Tie,9,7,9,8,8,5,7,6,6,5,9,7,6,7,7,8,7,8,7,8
iclr2025_verifai,YouRA,YouRA,Win,9,8,9,8,9,6,7,7,6,6,9,8,9,8,8,7,6,5,6,5
iclr2025_wsl,YouRA,YouRA,Win,9,8,9,8,9,5,6,7,6,6,9,8,8,7,8,7,6,7,5,6

Summary,Win=4,Tie=6,Lose=0,WinRate=40.0%
