lane,task,judge,clarity,novelty,soundness,significance,overall
sonnet45_no_IC,iclr2025_bi_align,claude-opus-4.6,6.0,4.0,2.0,2.0,2.0
sonnet45_no_IC,iclr2025_bi_align,gemini-3.1-pro-preview,8.0,7.0,1.0,2.0,1.0
sonnet45_no_IC,iclr2025_bi_align,gpt-5.4,7.0,5.0,2.0,4.0,3.0
sonnet45_no_IC,iclr2025_bi_align,grok-4.3,8.0,6.0,2.0,3.0,3.0
sonnet45_no_IC,iclr2025_bi_align,MEAN(judges),7.25,5.5,1.75,2.75,2.25
sonnet45_no_IC,iclr2025_buildingtrust,claude-opus-4.6,6.0,4.0,2.0,3.0,2.0
sonnet45_no_IC,iclr2025_buildingtrust,gemini-3.1-pro-preview,8.0,6.0,1.0,2.0,1.0
sonnet45_no_IC,iclr2025_buildingtrust,gpt-5.4,7.0,5.0,2.0,4.0,3.0
sonnet45_no_IC,iclr2025_buildingtrust,grok-4.3,9.0,7.0,2.0,3.0,3.0
sonnet45_no_IC,iclr2025_buildingtrust,MEAN(judges),7.5,5.5,1.75,3.0,2.25
sonnet45_no_IC,iclr2025_data_problems,claude-opus-4.6,6.0,4.0,2.0,3.0,2.0
sonnet45_no_IC,iclr2025_data_problems,gemini-3.1-pro-preview,8.0,6.0,1.0,2.0,1.0
sonnet45_no_IC,iclr2025_data_problems,gpt-5.4,7.0,6.0,2.0,4.0,3.0
sonnet45_no_IC,iclr2025_data_problems,grok-4.3,8.0,5.0,2.0,3.0,2.0
sonnet45_no_IC,iclr2025_data_problems,MEAN(judges),7.25,5.25,1.75,3.0,2.0
sonnet45_no_IC,iclr2025_dl4c,claude-opus-4.6,6.0,3.0,2.0,2.0,2.0
sonnet45_no_IC,iclr2025_dl4c,gemini-3.1-pro-preview,8.0,6.0,1.0,1.0,1.0
sonnet45_no_IC,iclr2025_dl4c,gpt-5.4,6.0,5.0,2.0,4.0,3.0
sonnet45_no_IC,iclr2025_dl4c,grok-4.3,8.0,5.0,2.0,3.0,3.0
sonnet45_no_IC,iclr2025_dl4c,MEAN(judges),7.0,4.75,1.75,2.5,2.25
sonnet45_no_IC,iclr2025_mldpr,claude-opus-4.6,7.0,4.0,3.0,3.0,3.0
sonnet45_no_IC,iclr2025_mldpr,gemini-3.1-pro-preview,8.0,7.0,1.0,2.0,2.0
sonnet45_no_IC,iclr2025_mldpr,gpt-5.4,7.0,6.0,3.0,5.0,4.0
sonnet45_no_IC,iclr2025_mldpr,grok-4.3,7.0,6.0,3.0,4.0,3.0
sonnet45_no_IC,iclr2025_mldpr,MEAN(judges),7.25,5.75,2.5,3.5,3.0
sonnet45_no_IC,iclr2025_question,claude-opus-4.6,6.0,4.0,2.0,2.0,2.0
sonnet45_no_IC,iclr2025_question,gemini-3.1-pro-preview,8.0,6.0,1.0,2.0,1.0
sonnet45_no_IC,iclr2025_question,gpt-5.4,6.0,5.0,2.0,4.0,3.0
sonnet45_no_IC,iclr2025_question,grok-4.3,8.0,6.0,2.0,3.0,3.0
sonnet45_no_IC,iclr2025_question,MEAN(judges),7.0,5.25,1.75,2.75,2.25
sonnet45_no_IC,iclr2025_scope,claude-opus-4.6,6.0,2.0,3.0,2.0,2.0
sonnet45_no_IC,iclr2025_scope,gemini-3.1-pro-preview,9.0,3.0,7.0,2.0,2.0
sonnet45_no_IC,iclr2025_scope,gpt-5.4,7.0,5.0,3.0,5.0,4.0
sonnet45_no_IC,iclr2025_scope,grok-4.3,8.0,4.0,7.0,5.0,5.0
sonnet45_no_IC,iclr2025_scope,MEAN(judges),7.5,3.5,5.0,3.5,3.25
sonnet45_no_IC,iclr2025_scsl,claude-opus-4.6,6.0,1.0,2.0,1.0,1.0
sonnet45_no_IC,iclr2025_scsl,gemini-3.1-pro-preview,8.0,1.0,1.0,1.0,1.0
sonnet45_no_IC,iclr2025_scsl,gpt-5.4,7.0,4.0,3.0,4.0,3.0
sonnet45_no_IC,iclr2025_scsl,grok-4.3,8.0,3.0,2.0,2.0,2.0
sonnet45_no_IC,iclr2025_scsl,MEAN(judges),7.25,2.25,2.0,2.0,1.75
sonnet45_no_IC,iclr2025_verifai,claude-opus-4.6,6.0,3.0,3.0,2.0,2.0
sonnet45_no_IC,iclr2025_verifai,gemini-3.1-pro-preview,8.0,7.0,2.0,3.0,2.0
sonnet45_no_IC,iclr2025_verifai,gpt-5.4,7.0,5.0,3.0,4.0,4.0
sonnet45_no_IC,iclr2025_verifai,grok-4.3,7.0,3.0,2.0,2.0,2.0
sonnet45_no_IC,iclr2025_verifai,MEAN(judges),7.0,4.5,2.5,2.75,2.5
sonnet45_no_IC,iclr2025_wsl,claude-opus-4.6,6.0,4.0,2.0,3.0,2.0
sonnet45_no_IC,iclr2025_wsl,gemini-3.1-pro-preview,8.0,7.0,1.0,2.0,1.0
sonnet45_no_IC,iclr2025_wsl,gpt-5.4,7.0,6.0,2.0,4.0,3.0
sonnet45_no_IC,iclr2025_wsl,grok-4.3,8.0,6.0,2.0,3.0,3.0
sonnet45_no_IC,iclr2025_wsl,MEAN(judges),7.25,5.75,1.75,3.0,2.25
