judge,venue,has_hallucination,n_hallucinations,confidence,overall_assessment
claude-opus-4.6,iclr2025_bi_align,True,5,5,"The paper contains multiple significant hallucinations. Most critically: (1) All citations are missing/empty despite numerous inline references to specific researchers and findings. (2) The experimental results are based entirely on simulated user responses using a hardcoded effectiveness matrix, yet the paper frames them as meaningful evaluations on real QA datasets. (3) The mathematical formulation of the acceptance model (using sigmoid with learned parameters) does not match the actual implementation (clipped linear with fixed coefficients). (4) The receptivity predictor, described as part of the methodology, is defined but never used in the code. (5) Specific numerical results are presented without uncertainty estimates despite being stochastic, and some values appear cherry-picked from favorable runs."
claude-opus-4.6,iclr2025_buildingtrust,True,5,4,"The paper contains several significant hallucinations. Most critically, the experimental results appear to be misrepresented: the dataset sizes claimed in the paper (200-500 questions) are dramatically larger than what was actually used in the code (20-55 questions). The ablation table (Table 2) presents numbers that appear cherry-picked from different experimental configurations. The baseline comparison in Table 1 compares metrics from fundamentally different evaluation methodologies. The methodology description contains an error about the classifier architecture. One citation references a future ArXiv ID. These issues collectively undermine the reliability of the reported findings."
claude-opus-4.6,iclr2025_data_problems,True,3,4,"The paper contains significant hallucinations in its reported experimental results. The most severe issue is that the validation loss numbers reported in the main results section (Section 4) are substantially different from the actual experimental data, particularly for AG News and IMDB datasets where discrepancies exceed 0.12 in loss. The claim of using 3 random seeds for all experiments is false - only baseline experiments used multiple seeds. The ablation table values appear to be cross-dataset averages presented without clarification, which is misleading but less severe. These fabricated/altered numbers change the narrative of the paper, making PADA and random selection appear closer in performance than they actually are on some datasets."
claude-opus-4.6,iclr2025_dl4c,True,4,4,"The paper contains several hallucinations of varying severity. The most critical is the misleading cross-dataset generalization claim: the paper presents results on 'CodeXGLUE', 'MBPP', and 'HumanEval' as if they represent genuine cross-dataset evaluation, when in reality all test sets are generated from the same synthetic data generation pipeline with different random seeds. The HuggingFace datasets are loaded but never actually used for evaluation. Additionally, the paper misrepresents which model architecture produced the main results (the baseline includes attention and auxiliary tasks that the paper claims were separate additions that hurt performance). There is also a misleading characterization of ablation results as 'marginally above random chance' when the result is more than double the random baseline."
claude-opus-4.6,iclr2025_mldpr,True,6,4,"The paper contains several hallucinations of varying severity. Most critically: (1) All citations except Goodfellow et al. are missing/placeholder, making claims about prior work unverifiable. (2) The methodology is misleadingly described - what is called 'documentation debt scoring' is actually a data quality metric with no actual documentation analysis. (3) There are inconsistencies between reported numbers in the main text vs. appendix (ρ = 0.664 vs ρ = 0.689 for the 'full pipeline'). (4) The real-world dataset documentation scores are arbitrarily assigned rather than based on any systematic assessment as claimed. The paper's core finding - that documentation debt correlates with model failures - is undermined by the fact that the 'documentation debt' metric is really just a proxy for injected data quality issues, which the paper's own ablation studies acknowledge."
claude-opus-4.6,iclr2025_question,True,8,4,The paper contains one clear hallucination in the methodology (describing the probe as a 'two-layer MLP (768 → 256 → 4)' when it is actually a three-layer architecture with dimensions 768 → 256 → 128 → 4) and one instance of faked/inconsistent experimental results (the TF-IDF ECE and routing precision values in Table 1 do not match the actual experimental outputs). Most other numerical claims in the paper are consistent with the code results when accounting for rounding. The core narrative about template dependence and the sobering finding about surface-level cues is well-supported by the actual experimental data.
claude-opus-4.6,iclr2025_scope,True,7,4,"The paper contains several hallucinations of varying severity. The most concerning are: (1) the importance definition in the paper's mathematical formulation does not match the actual code implementation - the paper claims importance is computed from future positions only, but the code uses all positions across all layers; (2) implementation details in Appendix G are incorrect (hidden dimension, dropout rate, which layers are used for ground truth); (3) experimental results are presented with specific precision that doesn't always match the actual code outputs, though the general trends are consistent. The methodology hallucinations are the most severe as they misrepresent the actual technical approach."
claude-opus-4.6,iclr2025_scsl,True,5,4,"The paper contains significant hallucinations, primarily in the form of faked or misleadingly presented experimental results. The most severe issue is the claimed +10% worst-group accuracy improvement on Colored CIFAR-10, which appears to be cherry-picked from a single favorable seed rather than being a mean across 3 seeds as the paper claims. The actual mean improvement across seeds is approximately +0.1%, not +10%. The paper explicitly states results are averaged over 3 seeds, but the reported numbers match only the single best seed. The Cohen's d separation metrics, while genuinely large in the code, are also presented from the best seed rather than averaged. Additionally, there is a potentially nonexistent or mischaracterized citation (Kunin et al., 2025). These hallucinations are severe because they fundamentally misrepresent the effectiveness of the proposed method."
claude-opus-4.6,iclr2025_verifai,True,4,5,"The paper contains severe hallucinations across multiple categories. Most critically, the experimental methodology is fundamentally misrepresented: the paper claims to evaluate on mathematical reasoning benchmarks (GSM8K, SciQ, WinoGrande) but the actual task is classifying synthetic random features with artificially injected category signals, having nothing to do with the actual content of these datasets. The model architecture is mischaracterized as a 'transformer-based encoder' when it is actually a simple MLP. All citations are missing (rendered as placeholders), and the reported experimental results, while technically produced by running code, are meaningless as evaluations of the claimed methodology for neural theorem proving. The signal injection ablation in the paper itself inadvertently proves that the entire experimental setup is trivial - the model only learns from artificially planted signals, not from any meaningful data patterns."
claude-opus-4.6,iclr2025_wsl,True,5,4,"The paper contains several hallucinations of varying severity. Most critically, it cites a paper from 2026 (Gupta et al.) which cannot exist yet, and it significantly misrepresents the normalization ablation results by claiming 'complete failure (ρ = 0.00)' when the actual Transformer result without normalization is ρ = 0.5941. The paper also cherry-picks results from different experimental runs to present the most favorable comparison (ρ = 0.929 for Transformer from one seed vs ρ = 0.795 for LSTM from the ablation runs). These issues undermine the paper's credibility, particularly the normalization claim which is presented as a key finding."
gemini-3.1-pro-preview,iclr2025_bi_align,True,3,5,"The paper contains significant methodological and mathematical hallucinations. It misrepresents the mathematical function used for the simulated user environment. More severely, it draws scientific conclusions about 'receptivity prediction' based on an ablation of a module that was completely unused (dead code) in the implementation. It also slightly fabricates the absolute numbers for the network depth ablation."
gemini-3.1-pro-preview,iclr2025_buildingtrust,True,7,5,"The paper contains multiple severe hallucinations, including fabricated citations with impossible future arXiv IDs, misreported experimental results regarding hyperparameter tuning, and significant discrepancies in the methodology (dataset sizes, difficulty levels, and hedging classifier implementation) compared to the actual code."
gemini-3.1-pro-preview,iclr2025_data_problems,True,3,5,"The paper contains several severe hallucinations, primarily involving the fabrication of experimental results. The validation loss metrics for two of the three main datasets (AG News and IMDB) are completely faked and do not align with the actual logs. Additionally, the ablation result for positional scaling is fabricated, and the model's parameter count is miscalculated."
gemini-3.1-pro-preview,iclr2025_dl4c,True,1,5,"The paper accurately reflects most of the ablation studies and error analyses from the code. However, it contains a severe hallucination regarding its experimental results: it claims to demonstrate strong cross-dataset generalization on real-world datasets (CodeXGLUE, MBPP, HumanEval), but the code actually evaluates the model on more of the exact same synthetic data used for training, merely naming the variables after the real datasets."
gemini-3.1-pro-preview,iclr2025_mldpr,True,1,5,"The paper accurately reflects the vast majority of the experimental setup, ablation studies, and results found in the code. However, it hallucinates a specific statistical result regarding the correlation between documentation debt and cross-seed variance, providing fabricated ρ and p-values that were never computed in the source code."
gemini-3.1-pro-preview,iclr2025_question,True,3,5,"The paper contains a few clear hallucinations. It misreports the MLP architecture depth and dimensions, fabricates the ECE and Routing Precision metrics for the TF-IDF baseline in Table 1, and includes fabricated future arXiv IDs for two 2025 citations."
gemini-3.1-pro-preview,iclr2025_scope,True,3,5,"The paper contains several hallucinations related to the methodology and mathematical formulations. The equation and description for computing the ground-truth importance scores do not match the implementation in the code (averaging across all layers vs. final layer, bidirectional vs. causal attention, and missing max-normalization). Additionally, some hyperparameters (dropout rate and ranking loss pair count) are reported incorrectly."
gemini-3.1-pro-preview,iclr2025_scsl,True,2,5,"The paper contains a hallucination regarding the experimental results of the standard deviation-based threshold method, falsely claiming it failed entirely with 0.00 separation when the data shows it yielded a sizable separation. Additionally, it includes a hallucinated arXiv identifier for a citation."
gemini-3.1-pro-preview,iclr2025_verifai,True,3,5,"The paper contains several instances of faked experimental results. While the overall trends and conclusions (e.g., baseline outperforming ETCL, signal injection being the primary driver of performance) align with the experimental data, the specific numerical values reported for the main results, generalization gaps, and some ablation studies are fabricated and do not match the logs."
gemini-3.1-pro-preview,iclr2025_wsl,True,2,5,"The paper contains multiple instances of faked experimental results. It fabricates the performance drop for the weight normalization ablation to make the component appear more critical than it is. Furthermore, it invents per-dataset correlation scores for MNIST and Fashion-MNIST to artificially support a narrative about the model's inability to perform fine-grained within-dataset ranking."
gpt-5.4,iclr2025_bi_align,True,7,5,"Hallucinations were found. The most serious issues are the nonexistent citations, methodology claims that do not match the code (especially the unused receptivity predictor and mismatched acceptance model), and result reporting that is not cleanly supported by the provided experiment artifacts. The paper appears to be a plausible narrative built around partially related code, but several claims are not faithfully grounded in the implementation."
