model_family,timepoint,benchmark,category,error_rate
GPT,baseline,TruthfulQA,Health,38.2
GPT,baseline,TruthfulQA,Law,41.5
GPT,baseline,TruthfulQA,Finance,35.8
GPT,baseline,TruthfulQA,Politics,42.1
GPT,baseline,TruthfulQA,Science,28.4
GPT,baseline,TruthfulQA,Conspiracies,45.3
GPT,baseline,TruthfulQA,Fiction,39.7
GPT,baseline,TruthfulQA,Myths,44.2
GPT,baseline,TruthfulQA,Nutrition,37.6
GPT,baseline,TruthfulQA,History,31.9
GPT,baseline,TruthfulQA,Psychology,33.5
GPT,baseline,TruthfulQA,Economics,36.2
GPT,current,TruthfulQA,Health,22.3
GPT,current,TruthfulQA,Law,25.7
GPT,current,TruthfulQA,Finance,21.4
GPT,current,TruthfulQA,Politics,28.9
GPT,current,TruthfulQA,Science,15.2
GPT,current,TruthfulQA,Conspiracies,31.4
GPT,current,TruthfulQA,Fiction,24.8
GPT,current,TruthfulQA,Myths,29.5
GPT,current,TruthfulQA,Nutrition,23.1
GPT,current,TruthfulQA,History,18.7
GPT,current,TruthfulQA,Psychology,19.9
GPT,current,TruthfulQA,Economics,22.6
GPT,baseline,MMLU,STEM,32.5
GPT,baseline,MMLU,Humanities,28.9
GPT,baseline,MMLU,Social Sciences,31.2
GPT,baseline,MMLU,Mathematics,35.7
GPT,baseline,MMLU,Computer Science,29.4
GPT,baseline,MMLU,Physics,33.8
GPT,baseline,MMLU,Chemistry,34.1
GPT,baseline,MMLU,Biology,30.6
GPT,baseline,MMLU,Economics,27.8
GPT,baseline,MMLU,Psychology,26.5
GPT,baseline,MMLU,Philosophy,29.9
GPT,baseline,MMLU,History,28.3
GPT,baseline,MMLU,Literature,31.7
GPT,baseline,MMLU,Law,33.4
GPT,baseline,MMLU,Medicine,36.2
GPT,current,MMLU,STEM,13.8
GPT,current,MMLU,Humanities,12.4
GPT,current,MMLU,Social Sciences,14.2
GPT,current,MMLU,Mathematics,16.9
GPT,current,MMLU,Computer Science,11.7
GPT,current,MMLU,Physics,15.3
GPT,current,MMLU,Chemistry,14.8
GPT,current,MMLU,Biology,13.1
GPT,current,MMLU,Economics,10.9
GPT,current,MMLU,Psychology,11.6
GPT,current,MMLU,Philosophy,13.5
GPT,current,MMLU,History,12.7
GPT,current,MMLU,Literature,14.9
GPT,current,MMLU,Law,15.8
GPT,current,MMLU,Medicine,17.2
Claude,baseline,TruthfulQA,Health,36.5
Claude,baseline,TruthfulQA,Law,39.8
Claude,baseline,TruthfulQA,Finance,34.1
Claude,baseline,TruthfulQA,Politics,40.4
Claude,baseline,TruthfulQA,Science,27.2
Claude,baseline,TruthfulQA,Conspiracies,43.6
Claude,baseline,TruthfulQA,Fiction,38.0
Claude,baseline,TruthfulQA,Myths,42.5
Claude,baseline,TruthfulQA,Nutrition,35.9
Claude,baseline,TruthfulQA,History,30.2
Claude,baseline,TruthfulQA,Psychology,31.8
Claude,baseline,TruthfulQA,Economics,34.5
Claude,baseline,MMLU,STEM,31.2
Claude,baseline,MMLU,Humanities,27.6
Claude,baseline,MMLU,Social Sciences,29.9
Claude,baseline,MMLU,Mathematics,34.4
Claude,baseline,MMLU,Computer Science,28.1
Claude,baseline,MMLU,Physics,32.5
Claude,baseline,MMLU,Chemistry,32.8
Claude,baseline,MMLU,Biology,29.3
Claude,baseline,MMLU,Economics,26.5
Claude,baseline,MMLU,Psychology,25.2
Claude,baseline,MMLU,Philosophy,28.6
Claude,baseline,MMLU,History,27.0
Claude,baseline,MMLU,Literature,30.4
Claude,baseline,MMLU,Law,32.1
Claude,baseline,MMLU,Medicine,34.9
Claude,current,TruthfulQA,Health,24.1
Claude,current,TruthfulQA,Law,27.3
Claude,current,TruthfulQA,Finance,22.8
Claude,current,TruthfulQA,Politics,30.2
Claude,current,TruthfulQA,Science,16.7
Claude,current,TruthfulQA,Conspiracies,32.9
Claude,current,TruthfulQA,Fiction,26.3
Claude,current,TruthfulQA,Myths,31.1
Claude,current,TruthfulQA,Nutrition,24.6
Claude,current,TruthfulQA,History,19.8
Claude,current,TruthfulQA,Psychology,21.4
Claude,current,TruthfulQA,Economics,23.9
Claude,current,MMLU,STEM,14.5
Claude,current,MMLU,Humanities,13.1
Claude,current,MMLU,Social Sciences,14.9
Claude,current,MMLU,Mathematics,17.6
Claude,current,MMLU,Computer Science,12.3
Claude,current,MMLU,Physics,16.1
Claude,current,MMLU,Chemistry,15.5
Claude,current,MMLU,Biology,13.8
Claude,current,MMLU,Economics,11.5
Claude,current,MMLU,Psychology,12.2
Claude,current,MMLU,Philosophy,14.1
Claude,current,MMLU,History,13.4
Claude,current,MMLU,Literature,15.6
Claude,current,MMLU,Law,16.4
Claude,current,MMLU,Medicine,18.1
Llama,baseline,TruthfulQA,Health,41.7
Llama,baseline,TruthfulQA,Law,44.9
Llama,baseline,TruthfulQA,Finance,39.2
Llama,baseline,TruthfulQA,Politics,45.6
Llama,baseline,TruthfulQA,Science,31.8
Llama,baseline,TruthfulQA,Conspiracies,48.7
Llama,baseline,TruthfulQA,Fiction,43.1
Llama,baseline,TruthfulQA,Myths,47.6
Llama,baseline,TruthfulQA,Nutrition,41.1
Llama,baseline,TruthfulQA,History,35.3
Llama,baseline,TruthfulQA,Psychology,36.9
Llama,baseline,TruthfulQA,Economics,39.7
Llama,current,TruthfulQA,Health,26.3
Llama,current,TruthfulQA,Law,29.5
Llama,current,TruthfulQA,Finance,24.9
Llama,current,TruthfulQA,Politics,32.4
Llama,current,TruthfulQA,Science,18.9
Llama,current,TruthfulQA,Conspiracies,35.1
Llama,current,TruthfulQA,Fiction,28.5
Llama,current,TruthfulQA,Myths,33.3
Llama,current,TruthfulQA,Nutrition,26.8
Llama,current,TruthfulQA,History,21.9
Llama,current,TruthfulQA,Psychology,23.6
Llama,current,TruthfulQA,Economics,26.1
Llama,baseline,MMLU,STEM,36.9
Llama,baseline,MMLU,Humanities,33.2
Llama,baseline,MMLU,Social Sciences,35.6
Llama,baseline,MMLU,Mathematics,40.1
Llama,baseline,MMLU,Computer Science,33.8
Llama,baseline,MMLU,Physics,38.2
Llama,baseline,MMLU,Chemistry,38.5
Llama,baseline,MMLU,Biology,35.1
Llama,baseline,MMLU,Economics,32.1
Llama,baseline,MMLU,Psychology,30.9
Llama,baseline,MMLU,Philosophy,34.3
Llama,baseline,MMLU,History,32.7
Llama,baseline,MMLU,Literature,36.1
Llama,baseline,MMLU,Law,37.8
Llama,baseline,MMLU,Medicine,40.6
Llama,current,MMLU,STEM,15.7
Llama,current,MMLU,Humanities,14.2
Llama,current,MMLU,Social Sciences,16.1
Llama,current,MMLU,Mathematics,19.3
Llama,current,MMLU,Computer Science,13.5
Llama,current,MMLU,Physics,17.5
Llama,current,MMLU,Chemistry,17.1
Llama,current,MMLU,Biology,15.3
Llama,current,MMLU,Economics,12.7
Llama,current,MMLU,Psychology,13.4
