task,r1_winner,r2_winner,verdict,r1_youra_clarity,r1_youra_novelty,r1_youra_soundness,r1_youra_significance,r1_youra_overall,r1_mlr_clarity,r1_mlr_novelty,r1_mlr_soundness,r1_mlr_significance,r1_mlr_overall,r2_youra_clarity,r2_youra_novelty,r2_youra_soundness,r2_youra_significance,r2_youra_overall,r2_mlr_clarity,r2_mlr_novelty,r2_mlr_soundness,r2_mlr_significance,r2_mlr_overall
iclr2025_bi_align,MLRagent,MLRagent,Lose,8,7,1,2,1,9,8,7,8,8,8,7,1,2,1,8,8,6,7,7
iclr2025_buildingtrust,YouRA,YouRA,Win,9,8,9,8,8,7,6,2,3,3,9,8,9,8,8,7,5,2,3,3
iclr2025_data_problems,YouRA,YouRA,Win,9,8,8,8,8,8,7,4,5,5,9,8,7,8,8,8,7,4,5,5
iclr2025_dl4c,YouRA,MLRagent,Tie,8,4,5,4,4,7,7,2,3,2,7,3,2,2,2,6,5,2,2,2
iclr2025_mldpr,MLRagent,MLRagent,Lose,8,5,4,3,4,9,8,7,8,8,8,5,3,3,3,9,8,6,8,7
iclr2025_question,YouRA,YouRA,Win,9,6,9,7,7,8,8,2,3,3,9,6,8,7,7,8,7,2,3,3
iclr2025_scope,YouRA,MLRagent,Tie,9,8,7,8,8,8,7,1,2,2,6,8,3,5,4,8,7,7,7,7
iclr2025_scsl,MLRagent,YouRA,Tie,9,5,5,5,5,8,7,7,7,7,9,8,8,8,8,8,7,6,6,6
iclr2025_verifai,YouRA,MLRagent,Tie,9,7,7,7,7,8,8,3,5,4,9,6,3,4,4,8,7,7,7,7
iclr2025_wsl,YouRA,YouRA,Win,9,7,8,7,8,8,7,4,4,4,9,7,8,7,8,8,7,5,5,5

Summary,Win=4,Tie=4,Lose=2,WinRate=40.0%
