task,r1_winner,r2_winner,verdict,r1_youra_clarity,r1_youra_novelty,r1_youra_soundness,r1_youra_significance,r1_youra_overall,r1_mlr_clarity,r1_mlr_novelty,r1_mlr_soundness,r1_mlr_significance,r1_mlr_overall,r2_youra_clarity,r2_youra_novelty,r2_youra_soundness,r2_youra_significance,r2_youra_overall,r2_mlr_clarity,r2_mlr_novelty,r2_mlr_soundness,r2_mlr_significance,r2_mlr_overall
iclr2025_bi_align,YouRA,YouRA,Win,7,4,7,5,5,7,5,3,4,4,8,6,8,6,7,7,5,2,4,3
iclr2025_buildingtrust,YouRA,YouRA,Win,9,7,7,7,7,6,3,2,2,2,9,7,7,7,7,7,3,2,3,3
iclr2025_data_problems,YouRA,YouRA,Win,8,4,6,4,5,7,6,3,4,4,8,6,6,5,6,7,5,3,4,3
iclr2025_dl4c,MLRagent,MLRagent,Lose,4,4,2,2,2,6,5,3,3,3,6,5,2,3,3,7,5,2,3,3
iclr2025_mldpr,YouRA,YouRA,Win,5,4,5,4,4,7,5,3,5,4,7,5,6,5,5,7,4,2,4,3
iclr2025_question,MLRagent,YouRA,Tie,7,3,4,3,3,7,6,2,4,3,8,3,7,3,4,7,6,2,3,3
iclr2025_scope,YouRA,YouRA,Win,7,4,5,4,4,6,3,3,3,3,8,5,7,5,6,7,4,2,3,3
iclr2025_scsl,MLRagent,YouRA,Tie,5,4,3,3,3,6,5,4,4,4,7,6,4,4,4,7,5,3,3,3
iclr2025_verifai,YouRA,YouRA,Win,7,3,3,3,3,6,4,2,3,2,7,4,4,4,4,7,4,2,3,2
iclr2025_wsl,MLRagent,YouRA,Tie,6,4,3,4,3,7,5,4,4,4,7,5,5,4,5,7,4,3,3,3

Summary,Win=6,Tie=3,Lose=1,WinRate=60.0%
