judge,venue,type,description,evidence,type_norm
claude-opus-4.6,iclr2025_bi_align,Nonexistent Citations,"The paper cites 'Chang, X. and Wang, R. (2025). Language Accommodation in Human-AI Conversations: Bidirectional Style Adaptation Across Cultures. Proceedings of the AAAI Conference on Artificial Intelligence.' This appears to be a fabricated citation. No such paper by these authors with this exact title can be verified as published or accepted at AAAI 2025. The paper is cited to support claims about word-level bidirectional style adaptation in human-AI conversations across cultural contexts.","Chang, X. and Wang, R. (2025). Language Accommodation in Human-AI Conversations: Bidirectional Style Adaptation Across Cultures. Proceedings of the AAAI Conference on Artificial Intelligence.",Nonexistent Citations
claude-opus-4.6,iclr2025_bi_align,Nonexistent Citations,"The paper cites 'Shen, H., Knearem, T., Thakkar, D., Pataranutaporn, P., Sinha, A. K., Shi, Y., Liang, J. T., Ahmad, L., Mitra, T., Myers, B. A., and Li, Y. (2025). Human-AI Interaction Alignment: Designing, Evaluating, and Evolving Value-Centered AI For Reciprocal Human-AI Futures. arXiv preprint arXiv:2512.21551.' The arXiv ID 2512.21551 would correspond to a paper from December 2025, which is a future date relative to the paper's apparent writing date. While the workshop task description mentions a 'bidirectional human-AI alignment' framework by Shen et al., the specific arXiv ID cannot be verified and may be fabricated.","Shen, H., Knearem, T., Thakkar, D., Pataranutaporn, P., Sinha, A. K., Shi, Y., Liang, J. T., Ahmad, L., Mitra, T., Myers, B. A., and Li, Y. (2025). Human-AI Interaction Alignment: Designing, Evaluating, and Evolving Value-Centered AI For Reciprocal Human-AI Futures. arXiv preprint arXiv:2512.21551.",Nonexistent Citations
claude-opus-4.6,iclr2025_bi_align,Hallucinated Methodology,"The paper reports in Table 4 that the directional C_sem values for h-m2 differ substantially from the C_sem values reported for h-m1 in Table 2. For example, Table 2 reports C_sem for T1 (all-MiniLM-L6-v2) as 0.3036, but Table 4 reports C_sem^{H<-A} for the same model and tier as 0.0853. The paper does not adequately explain this discrepancy. Looking at the code, the h-m2 C_sem computation uses a topic-matched KNN shuffle baseline rather than a random shuffle baseline, which would produce different (smaller) values. However, the paper's notation 'C_sem^{H<-A}' in Table 4 uses the same C_sem notation as in the main definition, potentially misleading readers into thinking these are comparable quantities when they use different baselines.","Table 2 shows T1 all-MiniLM-L6-v2 C_sem = 0.3036, while Table 4 shows C_sem^{H<-A} for the same model/tier = 0.0853",Hallucinated Methodology
claude-opus-4.6,iclr2025_bi_align,Faked Experimental Results,"The paper reports h-m4 mediation regression results in Table 6 with n=3,000 per model, but the actual experiment results JSON (regression_results.json) shows nobs=310,786 for all three models. The paper claims 'n = 3,000 per model' which contradicts the actual experimental output. This appears to be a fabricated sample size in the paper text.","Table 6: OLS Mediation Regression (n = 3,000 per model) vs regression_results.json showing 'nobs': 310786 for all three models",Faked Experimental Results
claude-opus-4.6,iclr2025_bi_align,Faked Experimental Results,"The paper reports in Table 6 that beta_PM for all-mpnet-base-v2 is '+6.76e-05' (positive), but the actual regression_results.json shows beta_pm for all-mpnet-base-v2 is -5.632372009365013e-05 (negative). The sign is reversed in the paper.",Paper Table 6: all-mpnet-base-v2 beta_PM = +6.76e-05 vs regression_results.json: 'beta_pm': -5.632372009365013e-05,Faked Experimental Results
claude-opus-4.6,iclr2025_bi_align,Faked Experimental Results,"The paper reports R-squared values of 0.007 and 0.012 in Table 6, but the actual regression_results.json shows R-squared values of approximately 0.0026 (all-MiniLM-L6-v2), 0.0031 (paraphrase-MiniLM-L6-v2), and 0.0020 (all-mpnet-base-v2) for the full model. The paper's reported R-squared values are inflated by roughly 2-6x compared to the actual results.","Paper Table 6: R-squared ranges from 0.007 to 0.012 vs regression_results.json: r_squared values of 0.00265, 0.00307, 0.00198",Faked Experimental Results
claude-opus-4.6,iclr2025_buildingtrust,Hallucinated Methodology,"The paper claims MMLU was evaluated with 4-shot prompting, but the experiment logs and code clearly show 0-shot evaluation was used. The log file shows repeated warnings like 'Overwriting default num_fewshot of mmlu_abstract_algebra from None to 0' for all MMLU subtasks, and the EVAL_CONFIG in the code sets 'num_fewshot': 0. The results JSON also confirms 'num_fewshot': 0 for all tasks. Yet the paper states in Section 3.3: 'MMLU (cais/mmlu, full test set, 14,042 items, 57 subjects, 4-shot)' and in Section 4.2: 'Evaluated with 4-shot prompting.' This is a significant methodological misrepresentation.","Paper states: 'MMLU (cais/mmlu, full test set, 14,042 items, 57 subjects, 4-shot)' and 'Evaluated with 4-shot prompting.' But the experiment log shows: '2026-03-15:00:16:49 WARNING [evaluator:333] Overwriting default num_fewshot of mmlu_abstract_algebra from None to 0' and the code has 'num_fewshot': 0 in EVAL_CONFIG.",Hallucinated Methodology
claude-opus-4.6,iclr2025_buildingtrust,Hallucinated Methodology,"The paper claims the 1.4B-PPO model used is 'usvsnsp/pythia-1.4b-ppo', but the code and experiment logs show the actual model used was 'lomahony/pythia-1.4b-helpful-sfted1-ppo-3epochs-old'. The experiment log further reveals this model had severe weight loading issues - all weights were 'newly initialized' rather than loaded from the checkpoint, meaning the model was essentially random. This explains the extreme results (rho = -0.324, 99.7% argmax change) but the paper presents these as meaningful PPO alignment results rather than artifacts of a broken model loading.","Paper Table in Section 4.1 lists PPO 1.4B as 'usvsnsp/pythia-1.4b-ppo' but code MODEL_REGISTRY shows '1.4b-ppo': 'lomahony/pythia-1.4b-helpful-sfted1-ppo-3epochs-old'. The experiment log shows: 'Some weights of GPTNeoXForCausalLM were not initialized from the model checkpoint at lomahony/pythia-1.4b-helpful-sfted1-ppo-3epochs-old and are newly initialized' followed by ALL model weights, and 'You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.'",Hallucinated Methodology
claude-opus-4.6,iclr2025_buildingtrust,Faked Experimental Results,"The Spearman rho values, argmax redistribution rates, and H3 diagnostic ratios reported in Tables 2 and Section 5.4 do not have corresponding code or output files in the provided codebase. The provided code only implements the H-E1 calibration analysis (ECE, Brier decomposition, delta reliability). There is no code for computing Spearman rho between base and aligned log-probability vectors, no argmax partition analysis code, no TruthfulQA evaluation code, and no H3 diagnostic code. The specific values in Table 2 (e.g., rho = -0.324 for 1.4B-PPO, 99.7% argmax changed) appear to be fabricated or at minimum cannot be verified from the provided experimental artifacts.","Table 2 reports specific Spearman rho values (e.g., '1.4B-PPO: -0.324', '6.9B-DPO: 0.875') and argmax change percentages (e.g., '99.7% (13,998 / 14,042)'), and Section 5.4 reports H3 diagnostic ratios ('SFT ratio = 0.32, DPO ratio = 0.26, PPO ratio = 0.73'). However, the provided code files only contain calibration_analysis.py (ECE/Brier) and plot_results.py (visualization). No Spearman rho computation, argmax analysis, or TruthfulQA evaluation code exists in the codebase.",Faked Experimental Results
claude-opus-4.6,iclr2025_buildingtrust,Nonexistent Citations,"The citation 'Khanmohammadi, A., et al. (2025). Calibrating LLM Confidence by Probing Perturbed Representation Stability. arXiv:2505.21772' references a paper with an arXiv ID from May 2025, which would be a future paper relative to the apparent submission timeline. While the paper itself is dated 2026, this arXiv ID format (2505.xxxxx) suggests May 2025. This paper may not exist or may be hallucinated.","Khanmohammadi, A., et al. (2025). Calibrating LLM Confidence by Probing Perturbed Representation Stability. arXiv:2505.21772.",Nonexistent Citations
