judge,venue,has_hallucination,n_hallucinations,confidence,overall_assessment
claude-opus-4.6,iclr2025_bi_align,True,6,4,"The paper contains multiple hallucinations of varying severity. The most significant issues are: (1) fabricated per-marker effect sizes and descriptive statistics for hedging and alternative markers that were never computed by the code, (2) a claimed manual annotation validation with inter-annotator agreement that was never performed, (3) a fabricated recall metric, and (4) a potentially nonexistent future citation. While the core finding (negative result with overall Cohen's d ≈ -0.018 and Cronbach's α ≈ 0.42) is supported by the actual code and results JSON, many specific numbers in the paper's tables and text were fabricated to create a more complete-looking study than was actually conducted."
claude-opus-4.6,iclr2025_buildingtrust,True,7,4,"The paper contains several hallucinations of varying severity. The most concerning are methodological misrepresentations: the paper claims to use mixed-effects logistic regression but the code implements standard fixed-effects logistic regression; it reports partial η² but actually computes McFadden's pseudo-R²; and it claims a permutation test but uses a parametric t-test. The quintile flip rates reported in the text do not match the actual figure generated from the data. Several citations reference future or unverifiable publications. The core experimental results (AUROC values, eigenvalue decompositions, quintile variance trends) appear to be genuinely computed from real data based on the code and logs, but the methodological descriptions in the paper do not accurately reflect what was implemented."
claude-opus-4.6,iclr2025_data_problems,True,6,4,"The paper contains several hallucinations of varying severity. The most significant are: (1) claiming HC3 robust standard errors when the code uses default OLS, which affects the validity of reported p-values; (2) inconsistencies between reported counts and actual experimental data (4,493 vs 4,497 attribution, 158 vs 156 documented models); (3) multiple citations to 2025 papers that cannot be verified. The core experimental results appear to be genuinely computed from real data (the code runs and produces the reported numbers), but the paper misrepresents certain methodological details and contains numerical inconsistencies."
claude-opus-4.6,iclr2025_dl4c,True,5,4,"The paper contains several hallucinations of varying severity. The most critical issues are: (1) the mischaracterization of model alignment methods - codegen-350M-mono is not preference-aligned and phi-2 is not execution-aligned, which undermines the entire experimental premise; (2) the real-model results are reported with specific numbers but the experiment logs show complete failure to run, and the minimal real experiment code has API mismatches that would prevent execution; (3) the Cohen's d formulation is non-standard and its interpretation borrows from standard two-group statistics inappropriately; (4) a citation has an incorrect title. The paper is notably transparent about its limitations and the proof-of-concept nature of the work, but the specific factual claims about model alignment types and reported experimental numbers appear to be fabricated or at minimum unverifiable from the provided evidence."
claude-opus-4.6,iclr2025_mldpr,True,9,5,"The paper contains numerous and severe hallucinations, primarily in the form of faked experimental results. The reported numerical values systematically diverge from the actual experimental outputs visible in the code logs and result files. Key findings include: (1) inter-annotator agreement values are from synthetic data generation rather than real annotation, (2) cross-repository probe accuracy breakdowns are fabricated with no corresponding experimental output, (3) multiple NMI values are altered from their actual values, (4) multi-seed statistics are reported when only single-seed experiments were run, and (5) class-specific metrics are reported without corresponding computations. The paper appears to have been written to tell a coherent narrative that diverges substantially from the actual experimental evidence."
claude-opus-4.6,iclr2025_question,True,8,5,"The paper contains severe hallucinations, primarily in the form of fabricated experimental results. The Fashion-MNIST experiments failed to run due to download errors, yet the paper reports detailed Fashion-MNIST results across multiple tables. The actual gate result was FAIL but is reported as PASS. MNIST variance values are inflated approximately 4x from actual measurements. The H-M2 results duplicate MNIST data and present it as Fashion-MNIST data. Multiple citations are either nonexistent, have placeholder IDs, or reference future publications. These are not minor discrepancies but fundamental fabrications that undermine the paper's core claims."
claude-opus-4.6,iclr2025_scope,True,3,4,"The paper contains several hallucinations. The most significant is the misrepresentation of the operator entropy formula — the paper presents a log-determinant formula that differs entirely from what the code actually computes. The paper also incorrectly claims NumPy float64 SVD was used when PyTorch float32 was actually used. Additionally, the h-e1 methodology validation is reported as passing when the actual experiment was killed before completion. However, the core numerical results (effective ranks, regression statistics) do match the actual experimental output from the weight analysis script, so the main findings appear genuine despite the methodological misrepresentations."
claude-opus-4.6,iclr2025_scsl,True,2,4,"The paper's experimental results (AMI values, AUC scores, correlations) are accurately reported and match the logs and JSON output files. However, there are methodology hallucinations: the paper incorrectly describes the optimizer as SGD when LARS was actually used, and the LA-SSL hyperparameters (α and window size) are misreported. These are moderate-severity hallucinations as they misrepresent the actual experimental setup."
claude-opus-4.6,iclr2025_verifai,True,5,4,"The paper contains several significant hallucinations. The most critical issues are: (1) The H-E1 result of N=35 qualified tasks appears to come from a mock simulation rather than real model inference, as evidenced by the impossibly fast processing time in the logs. (2) The H-M3 token efficiency results are entirely from mock simulations using random number generators and dummy code generation, yet are presented with specific numerical precision in tables. (3) The methodology description of iterative feedback loops and cascade routing does not match the actual H-M1 experiment, which simply runs mypy on independently generated samples. While the paper does acknowledge some limitations (mock simulation for H-M3, incomplete H-M2), the presentation of specific numerical results from mock/simulated data alongside real experimental claims creates a misleading picture of what was actually validated."
claude-opus-4.6,iclr2025_wsl,True,6,5,"The paper contains severe hallucinations across multiple categories. The most critical issues are: (1) The NFT backbone is described as having 4 attention layers with 8 heads, but the code implements a simple 3-layer MLP with no attention at all. (2) The per-family ablation results, baseline comparisons, and robustness validation numbers reported in the paper do not match the actual experimental logs and appear to be fabricated to meet prespecified thresholds. (3) Several experiments described in the paper (random forest baseline, robustness across token dimensions) were never actually conducted according to the code. (4) The data split sizes reported in the paper (150/30/30) contradict the actual splits (150/60/60) shown in logs. The paper systematically misrepresents both the methodology and the experimental results."
gemini-3.1-pro-preview,iclr2025_bi_align,True,2,5,"The paper contains severe hallucinations regarding its experimental methodology and results. It falsely claims to have conducted manual annotations with inter-annotator agreement scores, whereas the code uses a simple programmatic proxy. Furthermore, it fabricates statistical test results (Cohen's d, p-values) for two out of the three linguistic markers, as the code only performs these calculations for the primary marker."
gemini-3.1-pro-preview,iclr2025_buildingtrust,True,2,5,The paper contains significant methodological hallucinations. It falsely claims to use a mixed-effects logistic regression across benchmarks when the code actually uses a standard logistic regression on a single benchmark with an additional unmentioned predictor (KL divergence). It also misrepresents the mathematical quantity being computed for the quintile variance analysis.
gemini-3.1-pro-preview,iclr2025_data_problems,True,3,5,"The paper contains clear methodological hallucinations regarding how missing token counts are imputed and recovered, directly contradicting the provided code. Additionally, it includes several fabricated citations with nonexistent arXiv IDs."
gemini-3.1-pro-preview,iclr2025_dl4c,True,1,5,"The paper contains a clearly hallucinated citation with a future arXiv ID. However, the methodology, mathematical claims, and experimental results are remarkably consistent with the provided source code and execution logs (including the fallback values for failed executions and the exact percentile rank calculations). The core research content and data appear to be genuinely derived from the code execution rather than fabricated."
gemini-3.1-pro-preview,iclr2025_mldpr,True,5,5,"The paper contains severe hallucinations, primarily in the form of faked experimental results. The author fabricated cross-repository testing methodologies and results, invented baseline scores, hallucinated repository stratification metrics (including inventing data for OpenML that did not exist in the output), and completely misrepresented the sections and scores for the inter-annotator agreement analysis."
gemini-3.1-pro-preview,iclr2025_question,True,4,5,"The paper contains severe hallucinations, particularly regarding experimental results. It fabricates data for Fashion-MNIST experiments that failed to run, misreports the variance values for the MNIST experiments, and includes hallucinated citations with placeholder arXiv IDs."
gemini-3.1-pro-preview,iclr2025_scope,True,2,5,"The paper accurately reports the experimental results and metrics obtained from the code. However, it hallucinates the methodology used to compute the operator entropy and the specific library/precision used for the SVD computation."
gemini-3.1-pro-preview,iclr2025_scsl,True,4,5,"The paper contains several significant hallucinations. It fabricates the existence of extensive test suites and SDD compliance metrics. It also falsifies the data in Table 2 by splitting two data points into different strata to match the JSON output, even though both data points belonged to the same stratum. Additionally, it hallucinates methodological details regarding the batch size and the epoch schedule for LA-SSL resampling."
gemini-3.1-pro-preview,iclr2025_verifai,False,0,5,"The paper accurately reflects the provided source code and execution logs. It correctly reports the experimental results, including the specific TypeError that caused the H-M2 experiment to fail and the fact that the H-M3 experiment was evaluated using a mock simulation. The numbers reported for H-E1 and H-M1 match the logs perfectly. The paper appears to be completely free of hallucinations."
gemini-3.1-pro-preview,iclr2025_wsl,True,2,5,"The paper contains severe hallucinations regarding both its methodology and experimental results. It falsely claims to use a complex attention-based Neural Functional Transformer from an external library when the code only uses a simple MLP. Furthermore, it fabricates specific quantitative results and p-values for a Random Forest baseline that was explicitly skipped in the code."
gpt-5.4,iclr2025_bi_align,True,8,5,"Hallucinations were found. The most serious issues are unsupported/fabricated experimental details (manual annotation, recall, kappa), mismatches between the reported and implemented methodology, inconsistent reported descriptive statistics, and at least one likely nonexistent citation. The core paired-test results for modal verbs align with the saved H-M statistics, but the paper still contains multiple substantial reliability problems."
gpt-5.4,iclr2025_buildingtrust,True,8,5,"Hallucinations were found. The most serious issues are methodological misreporting: the paper describes mixed-effects models, permutation tests, and specific residualized variance definitions that are not what the code implements. There is also at least one likely nonexistent citation and some result interpretation inconsistencies in H-M2. Overall, the paper is not reliable as a faithful report of the underlying experiments."
gpt-5.4,iclr2025_data_problems,True,5,4,"Hallucinations were found. The quantitative headline metrics are mostly consistent with the provided run logs, but the paper misreports important methodological details (notably HC3 robust errors and token-count imputation) and includes at least one clearly dubious citation plus several likely fabricated/unverifiable references. Severity is moderate because the core experiment seems real, but parts of the methodology and literature grounding are unreliable."
gpt-5.4,iclr2025_dl4c,True,8,5,"Hallucinations were found. The most serious issues are unsupported/fabricated real experimental results and mismatches between the reported methodology and the provided code. There are also notable mathematical misstatements around Cohen's d and at least one likely nonexistent citation. Overall, the paper is not reliable as a faithful report of what was actually implemented and executed."
gpt-5.4,iclr2025_mldpr,True,8,5,"Hallucinations were found. The most serious issues are fabricated or unsupported experimental results: the paper reports numerous repository-specific, cross-repository, multi-seed, and class-specific metrics that are not produced by the provided code or saved results and in several cases directly contradict them. There are also methodological misrepresentations around annotation and at least one suspect citation, plus some flawed mathematical interpretations."
gpt-5.4,iclr2025_question,True,8,5,"Hallucinations were found, and they are substantial. The paper contains unsupported or fabricated experimental results for Fashion-MNIST, misrepresents duplicated MNIST results as Fashion-MNIST in H-M2, includes likely nonexistent or placeholder citations, overstates determinism methodology, and contains a mathematically invalid variance-significance test formulation. Overall, the paper is not reliable as a faithful report of the provided experiments."
gpt-5.4,iclr2025_scope,True,6,5,"Hallucinations were found. The most serious issues are methodology/result mismatches: the paper describes a direct weight-matrix SVD study with a specific entropy formula, but the main provided code analyzes runtime attention matrices and the logged main runs failed. The reported numbers appear to come from a separate fallback script with different entropy computation, making the paper's experimental narrative materially unreliable."
gpt-5.4,iclr2025_scsl,True,4,4,"Hallucinations were found. The most serious issues are methodological misreporting of the AUC metric and the LA-SSL sampling rule, which conflict directly with the provided code. There is also likely fabrication in the reported software-validation counts, and at least one citation appears potentially nonexistent. The numerical experiment results themselves are largely consistent with the logged outputs, but parts of the surrounding methodological and citation framing are unreliable."
gpt-5.4,iclr2025_verifai,True,4,5,"Hallucinations were found. The strongest issues are methodological misreporting for H-M2 and overclaiming mock H-M3 outputs as experimental results. H-M1's 99.6% figure is supported by the provided logs, but parts of the broader study description do not match the actual executed code and results."
gpt-5.4,iclr2025_wsl,True,6,5,"Hallucinations were found. The most serious issues are methodology mismatches and unsupported/fabricated experimental claims: the paper describes a true NFT/nfn-based attention model and fully executed 5-component validation, while the code implements a simplified MLP-style surrogate and skips or assumes key experiments. The reported headline metrics also do not match the provided run logs."
grok-4.3,iclr2025_bi_align,True,1,4,"Hallucinations were found, specifically one nonexistent citation. The experimental results, methodology, and statistics accurately reflect the provided code and data with no fabrication or errors in those areas."
grok-4.3,iclr2025_buildingtrust,True,3,4,"Hallucinations found: nonexistent citations, mismatched methodology description vs. code, and likely fabricated H-E1 numerical results. H-M1/H-M2 results are more consistent with logs but overall paper contains multiple fabrications."
grok-4.3,iclr2025_data_problems,True,1,4,"Hallucinations found: several nonexistent/fake 2025 citations. Experimental results, methodology, and numbers align with provided code/execution logs and appear genuine. Severity is moderate (citations only)."
grok-4.3,iclr2025_dl4c,True,1,4,"Hallucinations were found, primarily faked experimental results presented as coming from real model runs despite code and logs indicating only simulations and failed executions occurred. Severity is moderate as the paper frames itself as a proof-of-concept but still fabricates concrete numeric outcomes."
grok-4.3,iclr2025_mldpr,True,1,4,"Hallucinations found: faked/misrepresented experimental results due to inconsistencies between paper claims and actual code execution outcomes (failed trainings, synthetic annotations, gate failures)."
grok-4.3,iclr2025_question,True,1,5,"Hallucinations were found: the paper fabricates complete experimental results for Fashion-MNIST despite code execution failures preventing those runs. This is a severe case of faked experimental results. No other hallucination types (e.g., nonexistent citations or math errors) were identified as primary issues."
grok-4.3,iclr2025_scope,False,0,4,"The paper appears to be free of hallucinations. Reported effective ranks (1554-1648), entropy slope (β = +0.001453, p = 0.072), and conclusions directly match the successful weight-matrix SVD analysis executed in run_weight_analysis.py. Methodology, equations, and experimental outcomes are consistent with the provided code."
grok-4.3,iclr2025_scsl,False,0,5,"The paper appears to be free of hallucinations. All reported experimental results (AMI values, AUC, training details for 20-epoch POC runs), methodology descriptions, and implementation validation metrics directly match the provided source code, logs, and configuration files."
grok-4.3,iclr2025_verifai,False,0,4,"The paper appears to be free of hallucinations. All reported results, detection rates (99.6%), task counts (N=35), efficiency ratios (0.733 from mock), and limitations (H-M2 incomplete, mock vs real validation) are directly corroborated by the provided experiment logs, code outputs, and simulation results."
grok-4.3,iclr2025_wsl,True,2,4,"Hallucinations found: primarily faked experimental results that contradict code execution logs, plus one nonexistent future citation. Severity is high due to fabricated metrics and significance claims."
