defect_id,stage_of_failure,defect_type,description,current_ttff_hours,can_be_detected_by_contracts
DEF-001,training,device_mismatch,Query tensor on CUDA but mask on CPU,8.5,True
DEF-002,environment,dtype_incompatibility,Model expects float32 but receives float16,0.3,True
DEF-003,training,device_mismatch,Attention weights on different device than value,10.2,True
DEF-004,environment,layout_incompatibility,Dense tensor passed to sparse operation,0.2,True
DEF-005,training,device_mismatch,Loss function inputs on mismatched devices,9.7,True
DEF-006,deployment,version_mismatch,API signature changed in library update,48.0,False
DEF-007,environment,dtype_incompatibility,Mixed precision training expects consistent dtypes,0.4,True
DEF-008,training,device_mismatch,Batch normalization statistics on wrong device,11.3,True
DEF-009,environment,device_mismatch,Tokenizer output on CPU but model on GPU,0.5,True
DEF-010,training,layout_incompatibility,Sparse gradient passed to dense optimizer,7.8,True
DEF-011,environment,dtype_incompatibility,Embedding layer dtype mismatch with input,0.3,True
DEF-012,deployment,memory_issue,OOM during inference not caught in training,72.0,False
DEF-013,training,device_mismatch,Data loader outputs on wrong device,9.1,True
DEF-014,environment,device_mismatch,Pre-trained weights loaded to wrong device,0.6,True
DEF-015,training,dtype_incompatibility,Loss calculation dtype mismatch,8.9,True
DEF-016,environment,layout_incompatibility,Contiguous tensor required but not provided,0.4,True
DEF-017,training,device_mismatch,Optimizer state on different device,10.5,True
DEF-018,deployment,api_change,Removed parameter in library update,96.0,False
DEF-019,environment,dtype_incompatibility,Attention mask dtype incompatible with query,0.5,True
DEF-020,training,device_mismatch,Gradient accumulation device mismatch,8.3,True
DEF-021,environment,device_mismatch,Image preprocessing outputs wrong device,0.4,True
DEF-022,training,layout_incompatibility,Transposed tensor incompatible with matmul,9.6,True
DEF-023,environment,dtype_incompatibility,Label dtype mismatch with model output,0.3,True
DEF-024,deployment,performance_regression,Model slower than previous version,120.0,False
DEF-025,training,device_mismatch,Metric computation on wrong device,7.9,True
DEF-026,environment,device_mismatch,Config tensors initialized on wrong device,0.6,True
DEF-027,training,dtype_incompatibility,Softmax input dtype mismatch,10.1,True
DEF-028,environment,layout_incompatibility,View operation requires contiguous tensor,0.5,True
DEF-029,training,device_mismatch,Teacher forcing inputs device mismatch,8.7,True
DEF-030,environment,dtype_incompatibility,Position embeddings dtype mismatch,0.4,True
DEF-031,deployment,compatibility_issue,CUDA version incompatibility,144.0,False
DEF-032,training,device_mismatch,Beam search tensors on mixed devices,9.4,True
DEF-033,environment,device_mismatch,Vocabulary tensors loaded to wrong device,0.7,True
DEF-034,training,dtype_incompatibility,Layer normalization dtype mismatch,8.8,True
DEF-035,environment,layout_incompatibility,Reshape requires contiguous memory layout,0.5,True
