task,r1_winner,r2_winner,verdict,r1_youra_clarity,r1_youra_novelty,r1_youra_soundness,r1_youra_significance,r1_youra_overall,r1_mlr_clarity,r1_mlr_novelty,r1_mlr_soundness,r1_mlr_significance,r1_mlr_overall,r2_youra_clarity,r2_youra_novelty,r2_youra_soundness,r2_youra_significance,r2_youra_overall,r2_mlr_clarity,r2_mlr_novelty,r2_mlr_soundness,r2_mlr_significance,r2_mlr_overall
iclr2025_bi_align,MLRagent,MLRagent,Lose,8,7,2,5,3,7,6,4,7,5,8,6,1,4,2,7,6,4,6,5
iclr2025_buildingtrust,YouRA,YouRA,Win,8,7,7,7,7,6,5,2,4,3,8,7,7,7,7,7,6,3,4,4
iclr2025_data_problems,YouRA,YouRA,Win,8,7,5,6,6,7,6,3,4,4,8,6,4,5,5,7,7,3,5,4
iclr2025_dl4c,YouRA,YouRA,Win,8,5,6,5,6,7,7,3,4,3,8,5,6,5,6,7,7,3,4,4
iclr2025_mldpr,MLRagent,MLRagent,Lose,7,4,4,3,4,8,6,4,6,5,7,4,3,3,3,8,6,4,6,5
iclr2025_question,YouRA,YouRA,Win,8,4,6,5,5,8,7,2,3,2,8,4,6,4,5,8,7,2,5,3
iclr2025_scope,YouRA,YouRA,Win,8,6,5,5,5,7,7,2,4,2,8,6,5,6,5,8,7,2,5,3
iclr2025_scsl,YouRA,YouRA,Win,8,6,7,6,7,7,7,4,5,4,8,6,7,6,7,7,6,4,5,4
iclr2025_verifai,YouRA,YouRA,Win,8,6,6,6,6,7,6,4,5,4,8,6,7,6,7,7,7,4,6,5
iclr2025_wsl,YouRA,YouRA,Win,8,6,7,6,7,7,7,4,4,4,8,6,7,6,7,7,7,4,5,4

Summary,Win=8,Tie=0,Lose=2,WinRate=80.0%
