task,r1_winner,r2_winner,verdict,r1_youra_clarity,r1_youra_novelty,r1_youra_soundness,r1_youra_significance,r1_youra_overall,r1_mlr_clarity,r1_mlr_novelty,r1_mlr_soundness,r1_mlr_significance,r1_mlr_overall,r2_youra_clarity,r2_youra_novelty,r2_youra_soundness,r2_youra_significance,r2_youra_overall,r2_mlr_clarity,r2_mlr_novelty,r2_mlr_soundness,r2_mlr_significance,r2_mlr_overall
iclr2025_bi_align,YouRA,YouRA,Win,9,8,9,8,8,7,7,4,5,5,9,9,9,9,9,8,7,5,6,6
iclr2025_buildingtrust,YouRA,YouRA,Win,9,8,9,8,8,7,6,2,3,2,9,9,9,9,9,8,7,5,7,6
iclr2025_data_problems,YouRA,MLRagent,Tie,9,8,8,8,8,7,7,4,5,5,3,7,4,5,3,9,7,6,7,6
iclr2025_dl4c,YouRA,MLRagent,Tie,9,7,8,7,7,7,5,3,4,3,6,5,2,2,2,8,6,4,4,4
iclr2025_mldpr,MLRagent,MLRagent,Lose,7,6,2,3,2,9,8,7,8,8,5,5,2,3,2,9,8,7,8,8
iclr2025_question,YouRA,YouRA,Win,9,7,8,8,8,8,8,3,6,4,9,7,7,8,8,8,8,4,6,5
iclr2025_scope,YouRA,YouRA,Win,9,7,8,7,7,8,7,2,3,3,9,8,8,7,8,7,6,3,3,3
iclr2025_scsl,YouRA,MLRagent,Tie,9,8,6,7,6,8,7,4,5,4,6,6,3,3,3,9,8,7,7,7
iclr2025_verifai,YouRA,MLRagent,Tie,9,8,8,8,8,9,8,4,7,5,7,8,2,4,3,9,8,8,8,8
iclr2025_wsl,YouRA,YouRA,Win,8,7,9,8,8,8,7,4,5,5,9,8,9,9,9,8,7,5,6,6

Summary,Win=5,Tie=4,Lose=1,WinRate=50.0%
