Parameter,Value,Description
Random Seed,42,Reproducibility seed
Number of Users,50,Simulated users in environment
Interaction Timesteps,100,Length of each user trajectory
Training Epochs,50,Number of training epochs per model
Feature Dimension,20,Dimensionality of state features
Action Dimension,10,Number of possible actions
Context Dimension,5,Number of different contexts
Hidden Dimension,128,Neural network hidden layer size
Learning Rate,0.0001,Optimizer learning rate
Batch Size,32,Training batch size
Temporal Lambda,0.1,Weight for temporal regularization
Device,CUDA,Computing device used
Model Count,4,Number of models evaluated
Scenario Count,3,Number of evaluation scenarios
