defect_id,type,description,api_name,source_project,stage,invariant
J-001,structural,Expected 2D tensor but received 3D tensor in forward pass,torch.nn.Linear.forward,detectron2,environment,shape_dim_2
J-002,structural,Tensor dtype mismatch: expected torch.float32 but got torch.int64,torch.matmul,timm,environment,dtype_float32
J-003,structural,CUDA tensor on CPU device causes forward pass failure,torch.nn.Module.forward,huggingface/transformers,environment,device_cuda
J-004,structural,"Input tensor shape [B, C, H, W] expected but got [B, H, W, C]",torchvision.transforms.Normalize,pytorch-lightning,environment,shape_channel_first
J-005,structural,Batch size dimension mismatch in concatenation,torch.cat,fastai,environment,batch_dim_match
J-006,structural,Expected 2D tensor but received 3D tensor in forward pass,torch.nn.Linear.forward,mmdetection,environment,shape_dim_2
J-007,structural,Tensor dtype mismatch: expected torch.float32 but got torch.int64,torch.matmul,efficientnet,environment,dtype_float32
J-008,structural,CUDA tensor on CPU device causes forward pass failure,torch.nn.Module.forward,yolov5,environment,device_cuda
J-009,structural,"Input tensor shape [B, C, H, W] expected but got [B, H, W, C]",torchvision.transforms.Normalize,detectron2,environment,shape_channel_first
J-010,structural,Batch size dimension mismatch in concatenation,torch.cat,timm,environment,batch_dim_match
J-011,structural,Expected 2D tensor but received 3D tensor in forward pass,torch.nn.Linear.forward,huggingface/transformers,environment,shape_dim_2
J-012,structural,Tensor dtype mismatch: expected torch.float32 but got torch.int64,torch.matmul,pytorch-lightning,environment,dtype_float32
J-013,structural,CUDA tensor on CPU device causes forward pass failure,torch.nn.Module.forward,fastai,environment,device_cuda
J-014,structural,"Input tensor shape [B, C, H, W] expected but got [B, H, W, C]",torchvision.transforms.Normalize,mmdetection,environment,shape_channel_first
J-015,structural,Batch size dimension mismatch in concatenation,torch.cat,efficientnet,environment,batch_dim_match
J-016,structural,Expected 2D tensor but received 3D tensor in forward pass,torch.nn.Linear.forward,yolov5,environment,shape_dim_2
J-017,structural,Tensor dtype mismatch: expected torch.float32 but got torch.int64,torch.matmul,detectron2,environment,dtype_float32
J-018,structural,CUDA tensor on CPU device causes forward pass failure,torch.nn.Module.forward,timm,environment,device_cuda
J-019,structural,"Input tensor shape [B, C, H, W] expected but got [B, H, W, C]",torchvision.transforms.Normalize,huggingface/transformers,environment,shape_channel_first
J-020,structural,Batch size dimension mismatch in concatenation,torch.cat,pytorch-lightning,environment,batch_dim_match
J-021,structural,Expected 2D tensor but received 3D tensor in forward pass,torch.nn.Linear.forward,fastai,environment,shape_dim_2
J-022,structural,Tensor dtype mismatch: expected torch.float32 but got torch.int64,torch.matmul,mmdetection,environment,dtype_float32
J-023,structural,CUDA tensor on CPU device causes forward pass failure,torch.nn.Module.forward,efficientnet,environment,device_cuda
J-024,structural,"Input tensor shape [B, C, H, W] expected but got [B, H, W, C]",torchvision.transforms.Normalize,yolov5,environment,shape_channel_first
J-025,structural,Batch size dimension mismatch in concatenation,torch.cat,detectron2,environment,batch_dim_match
J-026,structural,Expected 2D tensor but received 3D tensor in forward pass,torch.nn.Linear.forward,timm,environment,shape_dim_2
J-027,structural,Tensor dtype mismatch: expected torch.float32 but got torch.int64,torch.matmul,huggingface/transformers,environment,dtype_float32
J-028,structural,CUDA tensor on CPU device causes forward pass failure,torch.nn.Module.forward,pytorch-lightning,environment,device_cuda
J-029,structural,"Input tensor shape [B, C, H, W] expected but got [B, H, W, C]",torchvision.transforms.Normalize,fastai,environment,shape_channel_first
J-030,structural,Batch size dimension mismatch in concatenation,torch.cat,mmdetection,environment,batch_dim_match
J-031,structural,Expected 2D tensor but received 3D tensor in forward pass,torch.nn.Linear.forward,efficientnet,environment,shape_dim_2
J-032,structural,Tensor dtype mismatch: expected torch.float32 but got torch.int64,torch.matmul,yolov5,environment,dtype_float32
J-033,structural,CUDA tensor on CPU device causes forward pass failure,torch.nn.Module.forward,detectron2,environment,device_cuda
J-034,structural,"Input tensor shape [B, C, H, W] expected but got [B, H, W, C]",torchvision.transforms.Normalize,timm,environment,shape_channel_first
J-035,structural,Batch size dimension mismatch in concatenation,torch.cat,huggingface/transformers,environment,batch_dim_match
J-036,structural,Expected 2D tensor but received 3D tensor in forward pass,torch.nn.Linear.forward,pytorch-lightning,environment,shape_dim_2
J-037,structural,Tensor dtype mismatch: expected torch.float32 but got torch.int64,torch.matmul,fastai,environment,dtype_float32
J-038,structural,CUDA tensor on CPU device causes forward pass failure,torch.nn.Module.forward,mmdetection,environment,device_cuda
J-039,structural,"Input tensor shape [B, C, H, W] expected but got [B, H, W, C]",torchvision.transforms.Normalize,efficientnet,environment,shape_channel_first
J-040,structural,Batch size dimension mismatch in concatenation,torch.cat,yolov5,environment,batch_dim_match
J-041,structural,Expected 2D tensor but received 3D tensor in forward pass,torch.nn.Linear.forward,detectron2,environment,shape_dim_2
J-042,structural,Tensor dtype mismatch: expected torch.float32 but got torch.int64,torch.matmul,timm,environment,dtype_float32
J-043,structural,CUDA tensor on CPU device causes forward pass failure,torch.nn.Module.forward,huggingface/transformers,environment,device_cuda
J-044,structural,"Input tensor shape [B, C, H, W] expected but got [B, H, W, C]",torchvision.transforms.Normalize,pytorch-lightning,environment,shape_channel_first
J-045,structural,Batch size dimension mismatch in concatenation,torch.cat,fastai,environment,batch_dim_match
J-046,structural,Expected 2D tensor but received 3D tensor in forward pass,torch.nn.Linear.forward,mmdetection,environment,shape_dim_2
J-047,structural,Tensor dtype mismatch: expected torch.float32 but got torch.int64,torch.matmul,efficientnet,environment,dtype_float32
J-048,structural,CUDA tensor on CPU device causes forward pass failure,torch.nn.Module.forward,yolov5,environment,device_cuda
