task_id,benchmark,llama3_tier,codellama_tier,deepseek_tier,n_models_hard,n_models_easy
HumanEval/0,humaneval,easy,medium,medium,0,1
HumanEval/1,humaneval,hard,hard,hard,3,0
HumanEval/10,humaneval,medium,hard,hard,2,0
HumanEval/100,humaneval,hard,hard,hard,3,0
HumanEval/101,humaneval,hard,hard,hard,3,0
HumanEval/102,humaneval,hard,hard,hard,3,0
HumanEval/103,humaneval,easy,hard,hard,2,1
HumanEval/104,humaneval,medium,hard,medium,1,0
HumanEval/105,humaneval,hard,hard,medium,2,0
HumanEval/106,humaneval,hard,hard,medium,2,0
HumanEval/107,humaneval,medium,hard,medium,1,0
HumanEval/108,humaneval,hard,hard,hard,3,0
HumanEval/109,humaneval,hard,hard,hard,3,0
HumanEval/11,humaneval,easy,hard,medium,1,1
HumanEval/110,humaneval,hard,hard,hard,3,0
HumanEval/111,humaneval,hard,hard,medium,2,0
HumanEval/112,humaneval,medium,hard,easy,1,1
HumanEval/113,humaneval,medium,hard,easy,1,1
HumanEval/114,humaneval,hard,hard,medium,2,0
HumanEval/115,humaneval,hard,hard,hard,3,0
HumanEval/116,humaneval,easy,hard,medium,1,1
HumanEval/117,humaneval,hard,hard,medium,2,0
HumanEval/118,humaneval,hard,hard,hard,3,0
HumanEval/119,humaneval,hard,hard,hard,3,0
HumanEval/12,humaneval,easy,medium,easy,0,2
HumanEval/120,humaneval,hard,hard,hard,3,0
HumanEval/121,humaneval,easy,hard,hard,2,1
HumanEval/122,humaneval,hard,hard,hard,3,0
HumanEval/123,humaneval,medium,hard,medium,1,0
HumanEval/124,humaneval,hard,hard,hard,3,0
HumanEval/125,humaneval,hard,hard,hard,3,0
HumanEval/126,humaneval,hard,hard,hard,3,0
HumanEval/127,humaneval,hard,hard,medium,2,0
HumanEval/128,humaneval,hard,hard,medium,2,0
HumanEval/129,humaneval,hard,hard,hard,3,0
HumanEval/13,humaneval,easy,medium,easy,0,2
HumanEval/130,humaneval,hard,hard,hard,3,0
HumanEval/131,humaneval,hard,hard,hard,3,0
HumanEval/132,humaneval,hard,hard,hard,3,0
HumanEval/133,humaneval,hard,hard,hard,3,0
HumanEval/134,humaneval,hard,hard,hard,3,0
HumanEval/135,humaneval,hard,hard,hard,3,0
