task,r1_winner,r2_winner,verdict,r1_youra_clarity,r1_youra_novelty,r1_youra_soundness,r1_youra_significance,r1_youra_overall,r1_aisv2_clarity,r1_aisv2_novelty,r1_aisv2_soundness,r1_aisv2_significance,r1_aisv2_overall,r2_youra_clarity,r2_youra_novelty,r2_youra_soundness,r2_youra_significance,r2_youra_overall,r2_aisv2_clarity,r2_aisv2_novelty,r2_aisv2_soundness,r2_aisv2_significance,r2_aisv2_overall
iclr2025_bi_align,YouRA,YouRA,Win,8,5,7,5,6,5,5,4,4,4,9,6,7,6,7,7,4,4,3,4
iclr2025_buildingtrust,YouRA,YouRA,Win,9,7,7,6,7,6,4,3,3,3,8,7,7,6,7,6,4,3,3,3
iclr2025_data_problems,YouRA,YouRA,Win,8,4,6,4,5,6,5,4,3,4,7,6,6,5,6,7,4,4,4,4
iclr2025_dl4c,AISv2,YouRA,Tie,5,4,2,2,2,6,4,3,3,3,5,4,3,3,3,6,3,1,2,2
iclr2025_mldpr,YouRA,YouRA,Win,7,4,4,4,4,5,3,5,4,4,7,5,5,5,5,7,4,5,5,5
iclr2025_question,AISv2,AISv2,Lose,7,2,4,2,3,7,5,6,5,5,8,2,5,2,3,7,5,6,5,5
iclr2025_scope,AISv2,YouRA,Tie,7,3,7,3,4,6,4,4,4,4,8,5,7,5,6,6,4,3,3,3
iclr2025_scsl,AISv2,AISv2,Lose,6,3,3,2,3,7,5,5,5,5,6,4,3,3,3,7,6,5,5,5
iclr2025_verifai,AISv2,AISv2,Lose,6,3,2,2,2,6,4,4,4,4,7,3,3,3,3,7,4,4,4,4
iclr2025_wsl,AISv2,YouRA,Tie,7,5,3,4,4,6,4,4,4,4,7,6,4,5,5,7,4,4,4,4

Summary,Win=4,Tie=3,Lose=3,WinRate=40.0%
