task,r1_winner,r2_winner,verdict,r1_youra_clarity,r1_youra_novelty,r1_youra_soundness,r1_youra_significance,r1_youra_overall,r1_aisv2_clarity,r1_aisv2_novelty,r1_aisv2_soundness,r1_aisv2_significance,r1_aisv2_overall,r2_youra_clarity,r2_youra_novelty,r2_youra_soundness,r2_youra_significance,r2_youra_overall,r2_aisv2_clarity,r2_aisv2_novelty,r2_aisv2_soundness,r2_aisv2_significance,r2_aisv2_overall
iclr2025_bi_align,YouRA,YouRA,Win,9,7,9,8,8,3,5,4,5,3,9,8,9,8,8,8,7,7,7,7
iclr2025_buildingtrust,YouRA,YouRA,Win,9,8,9,8,9,2,4,1,3,2,7,8,8,8,8,8,7,4,6,5
iclr2025_data_problems,YouRA,YouRA,Win,9,8,8,8,8,6,5,3,4,3,9,8,8,8,8,8,7,6,6,6
iclr2025_dl4c,YouRA,AISv2,Tie,9,7,6,6,7,4,3,2,3,2,8,7,5,6,6,9,6,7,7,7
iclr2025_mldpr,YouRA,AISv2,Tie,9,7,7,8,8,3,6,5,7,5,7,6,3,5,4,9,8,8,8,8
iclr2025_question,AISv2,AISv2,Lose,9,7,9,6,7,8,8,8,8,8,7,4,6,3,4,8,6,8,7,7
iclr2025_scope,YouRA,YouRA,Win,9,8,9,8,9,7,4,3,3,3,9,8,9,8,8,7,5,4,4,4
iclr2025_scsl,YouRA,AISv2,Tie,9,7,8,7,8,7,8,6,8,7,7,5,4,5,5,9,8,8,8,8
iclr2025_verifai,YouRA,AISv2,Tie,9,7,8,7,8,2,4,2,3,2,8,6,5,6,6,9,8,8,8,8
iclr2025_wsl,YouRA,AISv2,Tie,9,8,8,7,8,5,7,4,5,5,8,7,6,6,6,9,8,8,7,8

Summary,Win=4,Tie=5,Lose=1,WinRate=40.0%
